1 -> 0.630714 	- 0.630889 	| 0.000175 	-> 0s, 175.0ms
0 -> 0.630924 	- 0.632195 	| 0.001271 	-> 0s, 1271.0ms
1 -> 0.632225 	- 0.632393 	| 0.000168 	-> 0s, 168.0ms
0 -> 0.632427 	- 0.632729 	| 0.000302 	-> 0s, 302.0ms
1 -> 0.632759 	- 0.632912 	| 0.000153 	-> 0s, 153.0ms
0 -> 0.632947 	- 0.634217 	| 0.00127 	-> 0s, 1270.0ms
1 -> 0.634247 	- 0.634446 	| 0.000199 	-> 0s, 199.0ms
0 -> 0.634479 	- 0.634751 	| 0.000272 	-> 0s, 272.0ms
1 -> 0.634781 	- 0.63495 	| 0.000169 	-> 0s, 169.0ms
0 -> 0.634983 	- 0.636261 	| 0.001278 	-> 0s, 1278.0ms
1 -> 0.636292 	- 0.636469 	| 0.000177 	-> 0s, 177.0ms
0 -> 0.636503 	- 0.636755 	| 0.000252 	-> 0s, 252.0ms
1 -> 0.636784 	- 0.636984 	| 0.0002 	-> 0s, 200.0ms
0 -> 0.637018 	- 0.63729 	| 0.000272 	-> 0s, 272.0ms
1 -> 0.637322 	- 0.637491 	| 0.000169 	-> 0s, 169.0ms
0 -> 0.637524 	- 0.638798 	| 0.001274 	-> 0s, 1274.0ms
1 -> 0.638828 	- 0.638995 	| 0.000167 	-> 0s, 167.0ms
0 -> 0.639029 	- 0.639302 	| 0.000273 	-> 0s, 273.0ms
1 -> 0.639333 	- 0.639501 	| 0.000168 	-> 0s, 168.0ms
0 -> 0.639534 	- 0.64081 	| 0.001276 	-> 0s, 1276.0ms
1 -> 0.64084 	- 0.64104 	| 0.0002 	-> 0s, 200.0ms
0 -> 0.641074 	- 0.641323 	| 0.000249 	-> 0s, 249.0ms
1 -> 0.641354 	- 0.641522 	| 0.000168 	-> 0s, 168.0ms
0 -> 0.641557 	- 0.642833 	| 0.001276 	-> 0s, 1276.0ms
1 -> 0.642876 	- 0.643048 	| 0.000172 	-> 0s, 172.0ms
0 -> 0.643082 	- 0.643354 	| 0.000272 	-> 0s, 272.0ms
1 -> 0.643384 	- 0.643553 	| 0.000169 	-> 0s, 169.0ms
0 -> 0.643586 	- 0.644874 	| 0.001288 	-> 0s, 1288.0ms
1 -> 0.644905 	- 0.645074 	| 0.000169 	-> 0s, 169.0ms
0 -> 0.645108 	- 0.64638 	| 0.001272 	-> 0s, 1272.0ms
1 -> 0.64641 	- 0.646586 	| 0.000176 	-> 0s, 176.0ms
0 -> 0.646619 	- 0.646891 	| 0.000272 	-> 0s, 272.0ms
1 -> 0.646922 	- 0.64709 	| 0.000168 	-> 0s, 168.0ms
0 -> 0.647124 	- 0.647399 	| 0.000275 	-> 0s, 275.0ms
1 -> 0.64743 	- 0.647598 	| 0.000168 	-> 0s, 168.0ms
0 -> 0.647631 	- 0.648938 	| 0.001307 	-> 0s, 1307.0ms
1 -> 0.648968 	- 0.649137 	| 0.000169 	-> 0s, 169.0ms
0 -> 0.649171 	- 0.650445 	| 0.001274 	-> 0s, 1274.0ms
1 -> 0.650475 	- 0.650643 	| 0.000168 	-> 0s, 168.0ms
0 -> 0.650678 	- 0.65095 	| 0.000272 	-> 0s, 272.0ms
1 -> 0.650981 	- 0.65118 	| 0.000199 	-> 0s, 199.0ms
0 -> 0.651213 	- 0.651456 	| 0.000243 	-> 0s, 243.0ms
1 -> 0.651486 	- 0.651655 	| 0.000169 	-> 0s, 169.0ms
0 -> 0.651689 	- 0.652991 	| 0.001302 	-> 0s, 1302.0ms
1 -> 0.653021 	- 0.653191 	| 0.00017 	-> 0s, 170.0ms
0 -> 0.653224 	- 0.653497 	| 0.000273 	-> 0s, 273.0ms
1 -> 0.653527 	- 0.653696 	| 0.000169 	-> 0s, 169.0ms
0 -> 0.65373 	- 0.655003 	| 0.001273 	-> 0s, 1273.0ms
1 -> 0.655033 	- 0.655235 	| 0.000202 	-> 0s, 202.0ms
0 -> 0.655267 	- 0.656511 	| 0.001244 	-> 0s, 1244.0ms
1 -> 0.656542 	- 0.656713 	| 0.000171 	-> 0s, 171.0ms
0 -> 0.656746 	- 0.657021 	| 0.000275 	-> 0s, 275.0ms
1 -> 0.657052 	- 0.657229 	| 0.000177 	-> 0s, 177.0ms
0 -> 0.657262 	- 0.657537 	| 0.000275 	-> 0s, 275.0ms
1 -> 0.657568 	- 0.657736 	| 0.000168 	-> 0s, 168.0ms
0 -> 0.657769 	- 0.659075 	| 0.001306 	-> 0s, 1306.0ms
1 -> 0.659106 	- 0.659273 	| 0.000167 	-> 0s, 167.0ms
0 -> 0.659307 	- 0.65958 	| 0.000273 	-> 0s, 273.0ms
1 -> 0.65961 	- 0.659777 	| 0.000167 	-> 0s, 167.0ms
0 -> 0.659812 	- 0.661102 	| 0.00129 	-> 0s, 1290.0ms
1 -> 0.661133 	- 0.661302 	| 0.000169 	-> 0s, 169.0ms
0 -> 0.661336 	- 0.661609 	| 0.000273 	-> 0s, 273.0ms
1 -> 0.66164 	- 0.661809 	| 0.000169 	-> 0s, 169.0ms
0 -> 0.661842 	- 0.663112 	| 0.00127 	-> 0s, 1270.0ms
1 -> 0.663142 	- 0.663312 	| 0.00017 	-> 0s, 170.0ms
0 -> 0.663345 	- 0.663618 	| 0.000273 	-> 0s, 273.0ms
1 -> 0.663648 	- 0.663817 	| 0.000169 	-> 0s, 169.0ms
0 -> 0.663851 	- 0.665122 	| 0.001271 	-> 0s, 1271.0ms
1 -> 0.665152 	- 0.665321 	| 0.000169 	-> 0s, 169.0ms
0 -> 0.665354 	- 0.674617 	| 0.009263 	-> 0s, 9263.0ms
1 -> 0.674649 	- 0.67482 	| 0.000171 	-> 0s, 171.0ms
0 -> 0.674853 	- 0.677424 	| 0.002571 	-> 0s, 2571.0ms
1 -> 0.677454 	- 0.677622 	| 0.000168 	-> 0s, 168.0ms
0 -> 0.677655 	- 0.678938 	| 0.001283 	-> 0s, 1283.0ms
1 -> 0.678968 	- 0.679136 	| 0.000168 	-> 0s, 168.0ms
0 -> 0.679171 	- 0.679442 	| 0.000271 	-> 0s, 271.0ms
1 -> 0.679472 	- 0.67964 	| 0.000168 	-> 0s, 168.0ms
0 -> 0.679674 	- 0.679948 	| 0.000274 	-> 0s, 274.0ms
1 -> 0.679978 	- 0.680146 	| 0.000168 	-> 0s, 168.0ms
0 -> 0.680181 	- 0.681482 	| 0.001301 	-> 0s, 1301.0ms
1 -> 0.681512 	- 0.681682 	| 0.00017 	-> 0s, 170.0ms
0 -> 0.681715 	- 0.681989 	| 0.000274 	-> 0s, 274.0ms
1 -> 0.682018 	- 0.682194 	| 0.000176 	-> 0s, 176.0ms
0 -> 0.682228 	- 0.683492 	| 0.001264 	-> 0s, 1264.0ms
1 -> 0.683522 	- 0.683698 	| 0.000176 	-> 0s, 176.0ms
0 -> 0.683732 	- 0.684008 	| 0.000276 	-> 0s, 276.0ms
1 -> 0.684038 	- 0.684208 	| 0.00017 	-> 0s, 170.0ms
0 -> 0.684241 	- 0.685536 	| 0.001295 	-> 0s, 1295.0ms
1 -> 0.685568 	- 0.685736 	| 0.000168 	-> 0s, 168.0ms
0 -> 0.685769 	- 0.686043 	| 0.000274 	-> 0s, 274.0ms
1 -> 0.686074 	- 0.686241 	| 0.000167 	-> 0s, 167.0ms
0 -> 0.686274 	- 0.687549 	| 0.001275 	-> 0s, 1275.0ms
1 -> 0.68758 	- 0.687748 	| 0.000168 	-> 0s, 168.0ms
0 -> 0.687781 	- 0.689062 	| 0.001281 	-> 0s, 1281.0ms
1 -> 0.689093 	- 0.689267 	| 0.000174 	-> 0s, 174.0ms
0 -> 0.689302 	- 0.68959 	| 0.000288 	-> 0s, 288.0ms
